breed,url_ficha,temperament,size,activity_level,grooming,coat_length,url_imagen,descripcion
Abyssinian,https://tica.org/breed/abyssinian/,playful,medium,high,low,short,https://tica.org/wp-content/uploads/2018/08/aby-headshot-1.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
American Bobtail,https://tica.org/breed/american-bobtail/,affectionate,medium-to-large,moderate,low,short,https://tica.org/wp-content/uploads/2018/08/American-Bobtail-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
American Bobtail Shorthair,https://tica.org/breed/american-bobtail-shorthair/,affectionate,medium-to-large,moderate,low,short,https://tica.org/wp-content/uploads/2023/07/American-Bobtail-Shorthair-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
American Curl,https://tica.org/breed/american-curl/,playful,small-to-medium,variable,low,short,https://tica.org/wp-content/uploads/2023/07/American-Curl-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
American Curl Longhair,https://tica.org/breed/american-curl-longhair/,playful,small-to-medium,variable,low,long,https://tica.org/wp-content/uploads/2018/08/American-Curl-Full-Body.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
American Shorthair,https://tica.org/breed/american-shorthair/,gentle,medium-to-large,moderate,low,short,https://tica.org/wp-content/uploads/2023/07/American-Shorthair-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
American Wirehair,https://tica.org/breed/american-wirehair/,gentle,medium-to-large,moderate,low,short,https://tica.org/wp-content/uploads/2023/07/American-Wirehair-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Australian Mist,https://tica.org/breed/australian-mist/,affectionate,medium,high,low,short,https://tica.org/wp-content/uploads/2018/08/Australian-Mist-Full-Body.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Balinese,https://tica.org/breed/balinese/,playful,medium,high,low,short,https://tica.org/wp-content/uploads/2023/07/Balinese-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Bengal,https://tica.org/breed/bengal/,playful,medium,high,low,long,https://tica.org/wp-content/uploads/2023/07/Bengal-Head-Shot.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
Bengal Longhair,https://tica.org/breed/bengal-longhair/,playful,medium,high,low,long,https://tica.org/wp-content/uploads/2018/08/Bengal-Longhair-Full-Body.jpg,Join the Cat Care Community! Sign up now for exclusive monthly cat care tips delivered straight to your inbox. Enter your name and email below to stay updated with the best advice for your kitty companions!
